,data,Freq
648,2017-03-15,27
649,2017-03-16,16
650,2017-03-17,32
651,2017-03-18,16
652,2017-03-19,21
653,2017-03-20,31
654,2017-03-21,23
655,2017-03-22,25
656,2017-03-23,36
657,2017-03-24,28
658,2017-03-25,18
659,2017-03-26,12
660,2017-03-27,25
661,2017-03-28,31
662,2017-03-29,21
663,2017-03-30,26
664,2017-03-31,36
665,2017-04-01,23
666,2017-04-02,16
667,2017-04-03,32
668,2017-04-04,25
669,2017-04-05,31
670,2017-04-06,40
671,2017-04-07,28
672,2017-04-08,25
673,2017-04-09,19
674,2017-04-10,18
675,2017-04-11,41
676,2017-04-12,22
677,2017-04-13,15
678,2017-04-14,13
679,2017-04-15,16
680,2017-04-16,10
681,2017-04-17,20
682,2017-04-18,26
683,2017-04-19,29
684,2017-04-20,33
685,2017-04-21,16
686,2017-04-22,14
687,2017-04-23,8
688,2017-04-24,27
689,2017-04-25,23
690,2017-04-26,33
691,2017-04-27,32
692,2017-04-28,11
693,2017-04-29,28
694,2017-04-30,9
695,2017-05-01,5
696,2017-05-02,35
697,2017-05-03,33
698,2017-05-04,34
699,2017-05-05,40
700,2017-05-06,27
701,2017-05-07,14
702,2017-05-08,25
703,2017-05-09,32
704,2017-05-10,39
705,2017-05-11,28
706,2017-05-12,36
707,2017-05-13,25
708,2017-05-14,20
709,2017-05-15,32
710,2017-05-16,29
711,2017-05-17,27
712,2017-05-18,32
713,2017-05-19,20
714,2017-05-20,18
715,2017-05-21,21
716,2017-05-22,28
717,2017-05-23,36
718,2017-05-24,41
719,2017-05-25,30
720,2017-05-26,25
721,2017-05-27,22
722,2017-05-28,18
723,2017-05-29,20
724,2017-05-30,24
725,2017-05-31,16
726,2017-06-01,36
727,2017-06-02,29
728,2017-06-03,23
729,2017-06-04,15
730,2017-06-05,29
731,2017-06-06,34
732,2017-06-07,41
733,2017-06-08,32
734,2017-06-09,28
735,2017-06-10,21
736,2017-06-11,12
737,2017-06-12,35
738,2017-06-13,34
739,2017-06-14,21
740,2017-06-15,21
741,2017-06-16,31
742,2017-06-17,25
743,2017-06-18,10
744,2017-06-19,33
745,2017-06-20,29
746,2017-06-21,29
747,2017-06-22,34
748,2017-06-23,18
749,2017-06-24,12
750,2017-06-25,11
751,2017-06-26,23
752,2017-06-27,21
753,2017-06-28,22
754,2017-06-29,27
755,2017-06-30,28
756,2017-07-01,18
757,2017-07-02,13
758,2017-07-03,37
759,2017-07-04,26
760,2017-07-05,31
761,2017-07-06,32
762,2017-07-07,28
763,2017-07-08,21
764,2017-07-09,28
765,2017-07-10,22
766,2017-07-11,29
767,2017-07-12,25
768,2017-07-13,28
769,2017-07-14,25
770,2017-07-15,15
771,2017-07-16,22
772,2017-07-17,27
773,2017-07-18,25
774,2017-07-19,30
775,2017-07-20,22
776,2017-07-21,35
777,2017-07-22,28
778,2017-07-23,11
779,2017-07-24,24
780,2017-07-25,25
781,2017-07-26,25
782,2017-07-27,27
783,2017-07-28,20
784,2017-07-29,23
785,2017-07-30,13
786,2017-07-31,36
787,2017-08-01,31
788,2017-08-02,33
789,2017-08-03,30
790,2017-08-04,34
791,2017-08-05,20
792,2017-08-06,12
793,2017-08-07,33
794,2017-08-08,32
795,2017-08-09,26
796,2017-08-10,34
797,2017-08-11,25
798,2017-08-12,25
799,2017-08-13,16
800,2017-08-14,33
801,2017-08-15,32
802,2017-08-16,31
803,2017-08-17,40
804,2017-08-18,36
805,2017-08-19,30
806,2017-08-20,22
807,2017-08-21,38
808,2017-08-22,38
809,2017-08-23,33
810,2017-08-24,31
811,2017-08-25,25
812,2017-08-26,34
813,2017-08-27,17
814,2017-08-28,36
815,2017-08-29,27
816,2017-08-30,18
817,2017-08-31,23
818,2017-09-01,28
819,2017-09-02,24
820,2017-09-03,15
821,2017-09-04,22
822,2017-09-05,29
823,2017-09-06,35
824,2017-09-07,16
825,2017-09-08,18
826,2017-09-09,29
827,2017-09-10,5
828,2017-09-11,35
829,2017-09-12,24
830,2017-09-13,32
831,2017-09-14,24
832,2017-09-15,25
833,2017-09-16,21
834,2017-09-17,14
835,2017-09-18,23
836,2017-09-19,25
837,2017-09-20,30
838,2017-09-21,35
839,2017-09-22,30
840,2017-09-23,21
841,2017-09-24,10
842,2017-09-25,31
843,2017-09-26,21
844,2017-09-27,31
845,2017-09-28,32
846,2017-09-29,38
847,2017-09-30,34
848,2017-10-01,18
849,2017-10-02,26
850,2017-10-03,22
851,2017-10-04,23
852,2017-10-05,33
853,2017-10-06,30
854,2017-10-07,17
855,2017-10-08,21
856,2017-10-09,42
857,2017-10-10,39
858,2017-10-11,36
859,2017-10-12,12
860,2017-10-13,19
861,2017-10-14,14
862,2017-10-15,11
863,2017-10-16,24
864,2017-10-17,38
865,2017-10-18,34
866,2017-10-19,32
867,2017-10-20,25
868,2017-10-21,26
869,2017-10-22,16
870,2017-10-23,37
871,2017-10-24,39
872,2017-10-25,36
873,2017-10-26,42
874,2017-10-27,34
875,2017-10-28,26
876,2017-10-29,11
877,2017-10-30,25
878,2017-10-31,36
879,2017-11-01,34
880,2017-11-02,12
881,2017-11-03,30
882,2017-11-04,18
883,2017-11-05,18
884,2017-11-06,31
885,2017-11-07,32
